t,x,y
0.0,0.2771623364550171,0.03227018298777394
0.01,0.2775887425698029,0.038425769157405185
0.02,0.2765832055857065,0.04363689982593474
0.03,0.2741693003701666,0.05041608205488218
0.04,0.2703896916796573,0.0576940855350024
0.05,0.26530514513577713,0.06063454735664357
0.06,0.2589932570757514,0.06635174922887012
0.07,0.2515469052919203,0.07535276844086637
0.08,0.24307242812738464,0.07711861720166158
0.09,0.23368754902818345,0.08076942632567032
0.1,0.2235190774089903,0.08780615106753673
0.11,0.21270043386957815,0.08877322494804057
0.12,0.20136906679212274,0.09028623046501177
0.13,0.18966384552135854,0.09063627431895548
0.14,0.1777225292204518,0.09222468358733826
0.15,0.16567941641396455,0.09070348326743849
0.16,0.1536632751986899,0.08785166718449958
0.17,0.14179563690812416,0.08692917914689373
0.18,0.13018950794971498,0.08803366250869527
0.19,0.1189485194530892,0.0846178120708375
0.2,0.10816649790042032,0.07947600516504243
0.21,0.09792740802085256,0.07839912610218674
0.22,0.08830559665849302,0.07314365953506961
0.23,0.07936625547481124,0.07100542917517384
0.24,0.07116602099851049,0.06983537550654716
0.25,0.06375364033489275,0.05643466435544213
0.26,0.057170646281945216,0.05749101269286114
0.27,0.051452003033927475,0.05215019902138209
0.28,0.04662670007802022,0.046962934126095604
0.29,0.0427182852859988,0.044807760118207265
0.3,0.039745337538317625,0.03910706922128491
0.31,0.03772188422516932,0.03316716674630391
0.32,0.03665776984981133,0.027709205712463016
0.33,0.03655897912234338,0.02083688076641342
0.34,0.03742791182555511,0.018987724134165027
0.35000000000000003,0.03926359780067882,0.016616717759516262
0.36,0.04206182916008671,0.0054634601583605415
0.37,0.04581517410111025,0.0009142625874520509
0.38,0.050512823920989935,-5.669132918862448e-05
0.39,0.05614021452417889,-0.005233881584272904
0.4,0.06267835980130496,-0.01323028650303085
0.41000000000000003,0.07010284214599585,-0.012155758321186996
0.42,0.0783824312255374,-0.01729842794454535
0.43,0.08747735092506254,-0.022156854823926937
0.44,0.0973372866449814,-0.02377405072849
0.45,0.10789931291990257,-0.02703158233653591
0.46,0.11908600584363438,-0.024789383768661567
0.47000000000000003,0.1308040584592077,-0.02969678524364156
0.48,0.14294371240211368,-0.03253941574273251
0.49,0.15537924109661788,-0.03519093770016846
0.5,0.16797057835216525,-0.029382434850795294
0.51,0.18056601586561588,-0.029657328949042508
0.52,0.1930057407302284,-0.027884114398788497
0.53,0.2051258888251455,-0.023759109522486416
0.54,0.21676276820357415,-0.022157092385959046
0.55,0.22775694898208182,-0.016349757956660278
0.56,0.2379569970000421,-0.009920061017385545
0.5700000000000001,0.24722271899692885,-0.01118148547310279
0.58,0.2554278658234536,-0.0041716269940423965
0.59,0.2624622967280877,0.00589193617618454
0.6,0.2682336407960616,0.008875979122551687
0.61,0.27266850537950277,0.018718584246505854
0.62,0.2757132819342967,0.020637816335739263
0.63,0.2773345927473989,0.03257551961943373
0.64,0.27751941188796003,0.03727008042036683
0.65,0.2762748831557764,0.04463977713536794
0.66,0.2736278484798765,0.0509891682361367
0.67,0.26962409305110185,0.056100741026955
0.68,0.26432730899936235,0.06624547032731447
0.6900000000000001,0.2578177780736902,0.06609841668658274
0.7000000000000001,0.25019077597412803,0.07484021780871752
0.71,0.241554707125739,0.08128851913469026
0.72,0.23202898902926158,0.08332277478765517
0.73,0.22174171972609508,0.08198664682899415
0.74,0.21082717954076208,0.08807329627519671
0.75,0.1994232373299589,0.08795504986834946
0.76,0.18766874917735138,0.0910187464084764
0.77,0.17570105027550376,0.08551670268369135
0.78,0.16365364498656204,0.08940343467153694
0.79,0.15165419302042962,0.08798676510983815
0.8,0.1398228704820022,0.08712602085285043
0.81,0.1282711549606318,0.0835448853292087
0.8200000000000001,0.1171010480980854,0.08241438272616383
0.8300000000000001,0.10640471297184712,0.08248884241325222
0.84,0.09626447303011165,0.07615696960153301
0.85,0.08675309861806427,0.07697685988580096
0.86,0.07793429830369758,0.0710446517693299
0.87,0.069863334611275,0.06464757600189547
0.88,0.06258769477820067,0.05875882751007242
0.89,0.05614776316690215,0.05595177519180097
0.9,0.050577459412924436,0.050901491120688966
0.91,0.045904822418769586,0.050389786851553785
0.92,0.04215253306443695,0.043884820544846166
0.93,0.039338377115450275,0.03260057244012055
0.9400000000000001,0.03747565409987663,0.03295255934527527
0.9500000000000001,0.036573538150307644,0.02624973175230446
0.96,0.03663739338883771,0.02516104115038796
0.97,0.03766903981983652,0.019966408280295986
0.98,0.03966695633262329,0.009785714582302207
0.99,0.04262639585502134,0.0062975761655572685
1.0,0.046539374834176694,0.0018703618301754371
1.01,0.05139448665103197,-0.006021666948412717
1.02,0.057176479024430404,-0.008156764779244454
1.03,0.06386553311993853,-0.008464585790457944
1.04,0.07143619255472985,-0.016141225276990596
1.05,0.07985591992435068,-0.017505493147111233
1.06,0.08908331137131392,-0.02273813581248087
1.07,0.09906607542313986,-0.025039249002664233
1.08,0.10973897117892015,-0.025923790840708533
1.09,0.12102198232921375,-0.027503364379823245
1.1,0.132819049080084,-0.03016871774453727
1.11,0.14501766334726507,-0.03288191529296165
1.12,0.1574895425067965,-0.02700685708747387
1.1300000000000001,0.17009244770327722,-0.0301689699782559
1.1400000000000001,0.18267304206924215,-0.028411645230610943
1.1500000000000001,0.19507053916437425,-0.026708377858335748
